series,name,artist,youtube_id,year,difficulty
Marimar,,,ZixBXnS7Gig,0,1
Santa Barbara,,,7oY3cqIi8Fs,0,1
Ugly Betty,,,F_MQjophp_k,0,1
Prison Break,,,LVFk2u6b5ZY,0,1
Smallville,,,uzlyGxDx8Ck,0,1
Supernatural,,,FtYRMGnj-_A,0,1
Angel,,,WPnkB_cKKi8,0,1
Hercules: The Legendary Journeys theme,,,FFdSrgB7lqw,0,1
Xena Warrior Princess,,,SVsrX3LiXNY,0,1
The Highlander,,,49AySiJkiw0,0,1
The Crow: Stairway To Heaven,,,Q_o_vdP9DiA,0,1
Flipper,,,azEOeTX1LqM,0,1
Pacific Blue,,,7B8HF9SE6AI,0,1
"Walker, Texas Ranger",,,,0,1
My Wife And Kids,,,I5ysZVWmSgU,0,1
Sonny,,,1lmfjeLwHrU,0,1
Hannah Montana,,,nDMIuuO_PQo,0,1
The Mentalist,,,hYL_y4U4pxM,0,1
Criminial Minds,,,JS70MFXbYEc,0,1
Veronica Mars,,,9tEhpdMixYI,0,1
The Shield,,,YDB4xiA4dbc,0,1
24,,,t6nuKOMDkV0,0,1
Ghost Whisperer,,,o4Qo_b-DjGE,0,1
Coeur Caraïbes,,,Pfb4MUUOe2Y,0,1
Newport Beach,,,6ZL_LlRMRfo,0,1
The Suite Life of Zack & Cody,,,_9dYvfao6WY,0,1
Wizards Of Waverly Place,,,lshzQJ1YAzU,0,1
Kim Possible,,,GIgLqN_rAXU,0,1
Wizards of Waverly Place,,,GIgLqN_rAXU,2007,1
That's So Raven,,,gpH_PIqT-q8,0,1
One Tree Hill,,,95bvERjiieU,0,1
7th Heaven,,,kilo6iqi6Pg,0,1
Dawson's Creek,,,izpNuTxGIrM,0,1
Two And A Half Men,,,,0,1
Six Feet Under,,,Z4COQJuo7XU,0,1
Dallas,,,8sKX3tWaOew,0,1
Battlestar Galactica,,,vzyHxYxc-Mo,0,1
The Six Million Dollar Man,,,0CPJ-AbCsT8,0,1
Hawaii Five 0,,,AepyGm9Me6w,0,1
Starsky and Hutch,,,gsJ4pALlbEM,0,1
Airworlf,,,WSI4lgekVOM,0,1
Diff'rent Strokes,,,Tlh0GopyniE,0,1
Magnum,,,RDLBIgXhiOpeQ,0,1
Baywatch,,,O0nqwgu_Us4,0,1
MacGyver,,,,0,1
The A-Team,,,UAO2JBjRRBk,0,1
ER,,,Dp2EfS8FpUI,0,1
Pretty Little Liars,,,I6Y7Dqzu990,0,1
Grey's Anatomy,,,EGbg7-LBWak,0,1
NCIS,,,5_shStxQub0,0,1
Narcos,,,PtJ6yAGjsIs,0,1
The 100,,,02xAtCSrtHA,0,1
Breaking Bad,,,RD6AD2OA1EYbk,0,1
GTA San Andreas,,,W4VTq0sa9yg,0,1
Desperate Housewives,,,6AD2OA1EYbk,0,1
The Walking Dead,,,,2010,3
Law & Order,,,,1999,1
X Files,,,,1996,1
Dexter,,,4yMX84KyfKM,2007,1
Buffy,,,5-xnvdtuRRo,1990,1
Dr. House,European Version,,IF7g1mWOpUA,2012,2
Charmed,How Soon Is Now,530,9FDl2ylXLko,1984,1
Sex Education,I'm Coming Clean,533,z3d_KGu5q-c,0,1
Weeds,Little Boxes,532,yZnx-VbQ2bk,2012,5
Dr. House,Singapour Version,,,2012,4
Dr. House,Teardrop,157,pRXCo6IjXqk,2012,4
CSI Las Vegas,Who Are You,531,,1978,1
