artist,name,genre,featured_artists,youtube_id,year,difficulty
1T1,Bouwey,Bouyon,Théomaa,tW8KrbpTXcI,2025,3
20syl,Kodama,Electropop,nan,Mqbw7CUVWhM,2014,5
21 Savage,Bank Account,Rap music,nan,H1KBHFXm2Bg,2017,1
21 Savage,Ric Flair Drip,Rap music,nan,LPTlvQ1Zet0,2017,1
50 Cent,Just A Lil Bit,Rap music,nan,GllEDACUbNo,2005,1
50 Cent,Outta Control,Rap music,nan,Z3Oux1lN__4,2005,1
50 Cent,Ayo Technology,Rap music,Justin Timberlake,0kJ7FYgJ7Mo,2007,1
6ix9ine,FEFE,Rap music,nan,V_MXGdSBbAI,2018,1
Ace of Base,All That She Wants,Pop rock,nan,d73tiBBzvFM,1992,2
Ace of Base,Beautiful Life,Pop rock,nan,wh-07BzfgYY,1995,1
Afro B,Drogba,Afrobeat,nan,9YqecbxSr4A,0,2
Agnes Obel,The Curse,French pop,nan,6h9XUYj96ho,0,5
Agnes Obel,Riverside,Indie pop,nan,vjncyiuwwXQ,0,5
Al Jarreau,Your Song,Soul,nan,OH7xg5Eoi2E,0,5
Alanis Morissette,Ironic,Indie rock,nan,Jne9t8sHpUc,1995,4
Alexander,Truth,Indie folk,nan,s9yibUR5KNI,0,5
Alicia Keys,Fallin',Rhythm and blues,nan,Urdlvw0SSEc,2001,1
Alizee,Moi Lolita,French pop,nan,AWU8vI96-AI,0,1
All-4-One,I Swear,Rhythm and blues,nan,25rL-ooWICU,1994,1
Aloe Blacc,I Need A Dollar,Soul,nan,nFZP8zQ5kzk,0,3
Alphaville,Forever Young,Pop rock,nan,t1TcDHrkQYg,0,1
AlunaGeorge,Attracting Flies,Britpop,nan,7d_HD89ZlJE,0,2
Aly & AJ,Insomniatic,Pop rock,nan,N536lLGdbG4,2007,5
Aly & AJ,Potential Break Up Song,Pop rock,nan,LdJps8LBKLE,2007,4
America,A Horse With No Name,Folk rock,nan,zSAJ0l4OBHM,1971,3
Amy Winehouse,Back To Black,British blues,nan,TJAfLE39ZZ8,2018,1
Anastacia,I'm Outta Love,Rhythm and blues,nan,TnOy6HEf7HU,0,1
Anggun,La neige au Sahara,French pop,nan,IBLwQF_83r8,0,2
Angus and Julia Stone,Big Jet Plane,Pop rock,nan,yFTvbcNhEgc,0,4
Angèle,Perdus,French pop,nan,HgH_LsBHTPw,0,1
Angèle,I Kissed A Girl (Cover),Acousmatic music,nan,m7HAQC-uZOk,0,4
Angèle,Ta Reine,French pop,nan,XQKYEs4llzg,0,2
Angèle,Balance Ton Quoi,French pop,nan,Hi7Rx3En7-k,0,2
Angèle,Tout Oublier,French pop,Roméo Elvis,Fy1xQSiLx8U,0,2
Anitta,Envolver,Latin pop,nan,hFCjGiawJi4,2022,2
Anya Marina,Miss Halfway,Indie folk,nan,H1MJ4xfz_dM,2005,5
Anya Marina,Whatever You Like,Indie folk,nan,_0BPnJUx_Yw,2017,5
Anya Marina,Vertigo,Indie folk,nan,MNHge0UOlVY,2005,5
Aqua,Barbie Girl,Pop rock,nan,ZyhrYis509A,0,1
Arctic Monkeys,Do I Wanna Know?,Rock and roll,nan,bpOSxM0rNPM,0,2
Aretha Franklin,Respect,Soul,nan,6FOUqQt3Kg0,1967,1
Ashnikko,Halloweenie,Indie pop,nan,iqSt1ZS_Znw,0,5
Avril Lavigne,Complicated,Pop rock,nan,5NPBIwQyPWE,2002,1
Avril Lavigne,Girlfriend,Pop rock,nan,Bg59q4puhmg,2007,1
Aya Nakamura,Djadja,Afrobeat,nan,iPGgnzc34tY,2018,1
Aya Nakamura,Hypé,Zouk,nan,XJ2A_tdYa38,2024,1
Ayo,Down On My Knees,Ragga,nan,NZOJsIlAgpE,0,4
BB Brunes,Dis-Moi,Rock and roll,nan,X3VNRVo7irM,0,1
Backstreet Boys,I Want It That Way,Rhythm and blues,nan,4fndeDfaWCg,1999,1
Bali Baby,Professor Finessor,Rap music,nan,OzzYm3HIR6c,0,2
